observation_date,QUSR628BIS_NBD19810101
1970-01-01,77.72378
1971-01-01,80.52856
1972-01-01,83.56634
1973-01-01,88.04783
1974-01-01,86.57666
1975-01-01,86.18380
1976-01-01,85.58672
1977-01-01,93.35240
1978-01-01,100.16791
1979-01-01,104.93404
1980-01-01,102.90525
1981-01-01,100.00000
1982-01-01,96.51637
1983-01-01,96.94701
1984-01-01,97.72220
1985-01-01,99.53562
1986-01-01,105.17872
1987-01-01,111.30696
1988-01-01,116.46405
1989-01-01,120.44195
1990-01-01,118.03074
1991-01-01,112.20530
1992-01-01,108.80103
